p_value	morans_test_statistic	morans_I	gene_short_name	q_value
0.4133963395592461	0.21881690316747246	9.095977589656709e-4	Aagab	0.7022694075639538
0.40182647956724993	0.24862229740459646	9.086171350430488e-4	Ppfibp2	0.6930269647537927
0.41346415273346726	0.21864280550939075	9.083321790756556e-4	Gm28403	0.7023211349115294
0.41097250900598703	0.2250440346953214	9.082375590759861e-4	Tab1	0.6995994932077823
0.41450781558667266	0.2159642283923909	9.04042393684854e-4	Mad2l2	0.703521752558256
0.411731763645233	0.22309248472843762	9.038120851009052e-4	Gm16536	0.7003277496370867
0.45147862144683304	0.12192648149049667	9.001129200631274e-5	4921524J17Rik	0.7393712803904422
0.4147300521968573	0.2153940553384366	8.998438781068957e-4	Myo5a	0.7037083220025571
0.4080374148903011	0.23259639131590792	8.97154032756829e-4	Spin4	0.6966994261928816
0.4467958909568219	0.13376072882933776	8.965195810245063e-5	Cabyr	0.736962299255474
0.41146509205203274	0.22377782680780273	8.950181825013336e-4	Ncf1	0.7001675811507733
0.4121189047474159	0.22209772413922166	8.942808819664519e-4	Rassf2	0.700796006200215
0.4501774378664038	0.12521306315689806	8.926818065858684e-5	Arl16	0.7393712803904422
0.4048341451881062	0.2408539806111289	8.891225082791392e-4	Fn3krp	0.6943770383487357
0.414005559095031	0.21725308297538565	8.873818646250133e-4	BC002059	0.7029357448755758
0.41221629978722857	0.22184750183502078	8.84620202199175e-4	Map3k13	0.7008982168340603
0.4147035754834031	0.21546198065107178	8.834754405037031e-4	Ankmy2	0.7037083220025571
0.40843878094387936	0.23156285355681655	8.826978090632307e-4	Rarres1	0.6968713837569512
0.40688185634261054	0.23557340467701746	8.814861479860132e-4	Rorb	0.695250292993924
0.4142553388023465	0.21661207123038353	8.81273566635219e-4	Nr2f1	0.7032202296999644
0.4136991071825175	0.2180396550669332	8.801043694032849e-4	Gm10130	0.7026567378431176
0.40352692070435303	0.24422851812991714	8.800910478764578e-4	Rad51c	0.6943770383487357
0.4153122019351158	0.2139008160182548	8.795438873698981e-4	Agmo	0.7043781881958289
0.40921339960409103	0.22956886969871534	8.789359415433029e-4	Camk2n2	0.6978124538228806
0.41552313117683903	0.21335989123369822	8.776333551406228e-4	Dbr1	0.7046087773325252
0.4083452554601608	0.23180366423426527	8.753557705755337e-4	Stac2	0.6968375639477661
0.4080419206765672	0.2325847873128238	8.74256087996696e-4	Gm32004	0.6966994261928816
0.4110968488842352	0.22472437922511687	8.720234976964127e-4	Pdzd4	0.6996276567204137
0.41450536411338335	0.2159705183144084	8.671751982822641e-4	Arhgap4	0.703521752558256
0.41497306584199845	0.2147706565940582	8.65361088836123e-4	Zbed4	0.703993566663542
0.41424730124902964	0.21663269668316243	8.636937540965327e-4	1110035H17Rik	0.7032202296999644
0.4163493250424948	0.21124172930059304	8.609330283257068e-4	Tm2d3	0.7058187466471658
0.4126366643882812	0.220767681945805	8.57357371306114e-4	Cbr2	0.701422624390172
0.4152146883192622	0.2141509093283665	8.561093698800918e-4	Samd5	0.7042763487039498
0.4151410445131355	0.21433979258046734	8.553490641333768e-4	Ift81	0.7042149818349795
0.4170902763997913	0.20934291468181887	8.514176768811816e-4	Glb1	0.7066190225383837
0.40272706792692387	0.24629466969298594	8.457410199465388e-4	Gm20632	0.6940552577081129
0.41689289406342966	0.2098486666575981	8.433787175023799e-4	Med20	0.7064359452143079
0.4511320276350822	0.12280179190125105	8.421759840591061e-5	Mpst	0.7393712803904422
0.4503097601266352	0.12487877709754681	8.387411504811492e-5	Slc24a1	0.7393712803904422
0.4168560797798194	0.20994300168579924	8.340567202959441e-4	Gtf2e1	0.7064359452143079
0.4161520179513728	0.21174749063232898	8.330311393828877e-4	E130311K13Rik	0.7055478922550694
0.4161126289913761	0.21184846364694088	8.328773433332678e-4	Egfr	0.7055447489762671
0.4169388932386834	0.20973079836145384	8.322235006573446e-4	Igf2bp2	0.7064359452143079
0.41808843254729344	0.2067861602216407	8.31102961047935e-4	Lamtor5	0.7075040090111436
0.4517341619080952	0.12128118295560168	8.302073167838303e-5	Syngr2	0.7393712803904422
0.4182030351930125	0.20649269493639508	8.290292736408284e-4	Cetn3	0.7076210687301338
0.41843171253656325	0.2059071694081913	8.270243738979179e-4	Syn3	0.7078805598550787
0.4169122707248572	0.20979901554107513	8.264938710434767e-4	Tubb3	0.7064359452143079
0.41458619947985165	0.21576311768095544	8.195456191270534e-4	Lipc	0.7035912596264691
0.4179410955206594	0.20716347526121245	8.176186032193922e-4	Kif28	0.7075040090111436
0.4168257534462628	0.21002071302271658	8.132102793807534e-4	Marveld2	0.7064359452143079
0.4047282306394844	0.24112729135488412	8.11479084698109e-4	Gm26787	0.6943770383487357
0.41809621386901014	0.20676623387234172	8.112750595570326e-4	Manea	0.7075040090111436
0.4189929391146078	0.2044704543942324	8.108498022217078e-4	Fat4	0.7085721957636966
0.45141315016622774	0.12209181971696423	8.10829343763142e-5	Txndc16	0.7393712803904422
0.41759842818095444	0.20804112540341796	8.084558846839411e-4	Cmc4	0.7071174929088744
0.4166845867300903	0.2103824699334917	8.080234259370474e-4	Thnsl2	0.7063233994738486
0.41914883899305305	0.20407143267677957	8.076842280225751e-4	Uqcrc1	0.7086473040611997
0.4189840989478498	0.20449308154780169	8.05402780292546e-4	Mto1	0.7085721957636966
0.4180790730829971	0.20681012797519466	7.996137757665243e-4	D130043K22Rik	0.7075040090111436
0.41953910227389385	0.2030727061869499	7.969722888566516e-4	Bola3	0.7090520145155892
